trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.9, 'e': 0.680344066359634}",20,0,-27.95243375699333,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.9, 'e': 0.6762620019614762}",25,0,-16.341199229834917,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.6722044299497073}",20,0,-158.59375344819748,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
67,False,"{'a': 0.9, 'e': 0.6681712033700091}",20,0,10.837631940266457,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.9, 'e': 0.664162176149789}",20,0,-29.370830617158376,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.9, 'e': 0.6601772030928903}",20,0,-71.07935380644828,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
70,False,"{'a': 0.9, 'e': 0.6562161398743329}",20,0,-85.38835155098246,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
71,False,"{'a': 0.9, 'e': 0.652278843035087}",20,12,-16.72889160003476,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.6483651699768764}",25,12,-29.990452550149882,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.9, 'e': 0.6444749789570151}",20,0,-157.1884433958884,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
74,False,"{'a': 0.9, 'e': 0.640608129083273}",20,8,-34.53638269074125,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.9, 'e': 0.6367644803087734}",20,15,2.8628326123309837,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 0.6329438934269208}",20,5,-32.19686142939099,"{0: 11, 1: 2, 2: 0, 3: 2, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.6291462300663593}",20,0,-76.27823909340928,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.9, 'e': 0.6253713526859611}",20,0,-115.18364617433356,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
79,False,"{'a': 0.9, 'e': 0.6216191245698454}",25,0,-12.92758446491147,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.9, 'e': 0.6178894098224262}",20,7,13.346015351640897,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.6141820733634917}",25,0,-18.714810311758335,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.9, 'e': 0.6104969809233107}",35,10,-33.871024833353644,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.6068339990377709}",25,0,-42.10750093665697,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.9, 'e': 0.6031929950435442}",25,14,-45.20318676122439,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.5995738370732829}",20,0,-36.238130861981915,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.9, 'e': 0.5959763940508432}",25,0,-37.05383121358944,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
87,False,"{'a': 0.9, 'e': 0.5924005356865382}",25,0,-35.10898749954661,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
88,False,"{'a': 0.9, 'e': 0.588846132472419}",35,0,-74.07737034273616,"{0: 26, 1: 4, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.9, 'e': 0.5853130556775844}",20,0,-22.928176961480734,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.9, 'e': 0.5818011773435189}",25,7,-11.707389691448522,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.5783103702794579}",20,2,-1.962909804052356,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
